Код,Возраст,Пол,Состоит в браке,Иждивенцы,Доход,Опыт работы,Срок проживания,Недвижимость,Месячный платеж,Число просрочек более 60 дн.
152,23,женский,Нет,2,7000,5,23,0,1845,4
153,33,женский,Нет,1,23500,15,2,0,3622,0
154,22,мужской,Да,1,31500,4,8,33,3998,0
155,27,женский,Да,1,13500,9,19,67,3553,0
156,30,мужской,Нет,1,10400,8,2,0,2204,0
157,38,мужской,Да,0,8000,20,33,0,3229,1
158,36,мужской,Нет,1,6000,11,8,15,2768,5
159,25,мужской,Нет,2,8800,7,5,0,2528,5
160,28,мужской,Да,0,14500,4,28,0,6355,0
161,29,мужской,Да,2,12500,11,23,33,3690,0
162,32,мужской,Да,2,9000,15,7,0,5638,6
163,38,мужской,Да,0,9500,16,13,0,6048,3
164,38,женский,Да,0,12500,16,11,24,3178,0
165,33,мужской,Да,2,5500,15,2,0,5432,2
166,25,мужской,Нет,1,13000,7,5,35,6458,0
167,30,мужской,Да,1,34500,12,12,30,5022,0
168,28,мужской,Нет,0,26500,9,7,0,6458,0
169,40,мужской,Нет,1,4900,9,3,0,4612,5
170,34,мужской,Да,2,13500,7,6,27,3485,0
171,39,женский,Да,2,12900,16,2,34,6662,6
172,33,мужской,Да,0,9500,15,15,0,5330,4
173,36,мужской,Нет,2,7800,17,3,0,4612,3
174,26,мужской,Да,0,10500,5,26,84,5638,5
175,31,женский,Да,0,14000,13,31,0,4100,0
176,38,мужской,Нет,0,13500,14,38,59,6765,0
177,40,женский,Да,1,6000,17,24,0,4612,5
178,35,женский,Нет,0,17600,17,26,28,4612,0
179,28,мужской,Да,1,6000,10,18,0,4715,3
180,32,мужской,Да,1,2300,14,8,53,5125,5
181,29,мужской,Да,4,12000,11,10,0,6868,6
182,30,мужской,Да,2,21000,12,5,33,4151,0
183,37,женский,Да,1,29500,9,26,0,3075,0
184,36,женский,Нет,1,25500,19,16,0,5877,0
185,28,женский,Да,0,11500,6,17,0,3024,3
186,46,женский,Да,1,7900,4,11,0,5672,4
187,31,мужской,Нет,0,6500,13,13,0,1896,4
188,34,женский,Нет,1,12000,16,5,0,6150,5
189,37,женский,Да,1,30500,11,6,39,4612,0
190,39,мужской,Да,3,9500,22,11,36,4818,2
191,27,мужской,Да,1,6600,9,2,0,3417,6
192,27,мужской,Нет,0,12000,9,3,27,7688,6
193,24,мужской,Да,1,9500,10,24,0,2255,0
194,34,женский,Да,0,16000,10,5,0,4408,0
195,31,женский,Нет,1,24500,11,8,33,2255,0
196,32,женский,Нет,0,6500,14,29,0,3075,2
197,23,женский,Нет,0,14500,5,20,38,1486,0
198,37,мужской,Да,2,3800,18,23,0,1896,2
199,28,мужской,Нет,1,24500,10,2,0,9225,0
200,32,мужской,Да,3,16000,13,15,0,1948,4
201,35,мужской,Да,2,6000,13,14,0,5330,6
202,40,женский,Да,0,12000,20,7,27,3690,0
203,36,мужской,Нет,2,8500,19,24,73,5535,2
204,33,мужской,Да,1,13500,14,29,0,7175,0
205,33,мужской,Да,1,9000,12,2,27,1913,0
206,37,женский,Да,0,15500,19,18,13,6048,0
207,28,мужской,Да,2,17500,10,27,0,3639,0
208,43,мужской,Нет,0,23800,12,3,25,3690,0
209,36,мужской,Да,1,12000,4,5,0,3827,0
210,40,мужской,Нет,0,14500,21,28,0,6765,0
211,36,женский,Да,1,10000,18,4,34,3331,0
212,37,мужской,Нет,1,5400,19,2,0,4032,3
213,40,женский,Да,3,31000,7,6,0,3690,0
214,31,мужской,Нет,1,7700,13,4,57,1777,0
215,38,мужской,Нет,1,23200,15,8,27,1896,0
216,23,мужской,Да,0,8000,5,11,32,2819,0
217,32,женский,Да,1,7500,14,17,0,5740,2
218,32,мужской,Нет,1,21500,14,2,0,3998,0
219,31,мужской,Нет,4,34500,13,10,34,3998,0
220,31,мужской,Да,2,10500,13,26,0,5945,5
221,37,мужской,Да,0,9500,15,31,0,2562,0
222,23,мужской,Да,0,9000,5,19,0,1281,0
223,28,мужской,Да,1,16500,10,3,38,4442,0
224,37,мужской,Да,0,6000,16,3,0,3553,5
225,29,женский,Да,2,11500,11,2,0,2255,0
226,37,мужской,Да,1,15500,19,2,7,3280,0
227,26,мужской,Да,2,6400,8,5,0,3963,2
228,44,мужской,Нет,0,16400,21,12,13,4202,0
229,24,мужской,Да,0,9000,6,2,0,6048,4
230,35,женский,Нет,2,12000,17,2,0,3212,3
231,32,мужской,Да,0,4000,14,3,0,2665,2
232,36,мужской,Да,2,6500,17,11,0,1691,0
233,34,мужской,Да,2,4000,16,9,33,4373,2
234,35,мужской,Нет,1,12500,16,13,36,2358,0
235,40,женский,Да,1,8500,19,3,0,5638,2
236,35,женский,Да,2,6500,5,5,38,2921,2
237,40,мужской,Да,1,7500,21,35,0,4373,6
238,34,женский,Да,1,24700,17,3,0,1777,0
239,26,женский,Нет,0,7000,8,15,28,5535,2
240,35,мужской,Нет,0,9000,11,7,0,3382,0
241,38,мужской,Нет,2,9500,15,7,32,4612,3
242,35,мужской,Да,1,12500,16,10,0,4305,0
243,24,мужской,Нет,0,6000,6,5,23,3143,0
244,35,мужской,Да,0,15500,17,25,33,4818,0
245,34,мужской,Да,1,17000,14,19,0,2187,0
246,40,женский,Да,2,15500,17,2,0,7688,5
247,48,мужской,Да,2,13000,11,17,4,4920,0
248,32,мужской,Да,0,12500,14,5,0,7175,0
249,36,мужской,Да,1,9000,13,16,0,1589,4
250,36,мужской,Нет,2,7200,6,4,88,3792,4
251,31,мужской,Да,0,9000,12,6,6,2460,0
252,23,мужской,Да,2,11500,5,17,68,2255,0
253,37,мужской,Да,2,11500,14,6,0,4818,6
254,45,мужской,Нет,1,7500,26,33,43,3963,5
255,35,мужской,Нет,1,8500,17,26,0,1982,0
256,36,женский,Да,2,5500,6,32,0,4715,2
257,35,мужской,Да,2,9500,18,13,9,4818,3
258,36,мужской,Да,0,3200,12,13,0,6252,4
259,33,мужской,Да,3,17900,11,6,0,1896,4
260,25,мужской,Да,1,15000,7,5,0,4510,0
261,33,женский,Да,1,29500,15,6,36,5330,0
262,32,мужской,Да,0,20500,14,2,0,8200,0
263,37,женский,Нет,1,8500,13,22,0,4510,2
264,30,мужской,Да,0,8000,12,4,0,5842,5
265,30,женский,Нет,1,12000,12,9,4,4168,0
266,29,мужской,Да,2,6200,11,25,0,1691,5
267,34,мужской,Да,1,12000,15,2,47,6458,4
268,30,женский,Да,0,9500,12,24,0,5057,6
269,39,мужской,Да,0,11400,19,6,0,4442,0
270,36,мужской,Нет,0,14000,15,33,0,3792,0
271,26,мужской,Да,0,12100,8,6,0,3024,0
272,32,мужской,Да,2,27600,15,8,0,2358,0
273,44,женский,Нет,1,12800,23,11,40,6252,0
274,57,мужской,Да,0,7500,28,17,34,3758,5
275,30,мужской,Да,1,20700,12,6,0,8200,0
276,33,мужской,Да,1,14500,15,25,13,4100,0
277,39,женский,Да,1,7000,21,4,0,5842,5
278,24,женский,Да,2,12700,6,6,0,3485,0
279,26,женский,Да,0,4700,8,3,34,2306,2
280,29,женский,Да,1,14500,11,27,47,1025,0
281,33,мужской,Да,2,10000,12,19,0,3417,5
282,32,мужской,Нет,0,8500,14,9,0,5022,4
283,28,женский,Да,0,7500,10,15,0,2392,6
284,36,женский,Да,2,6500,18,30,0,5432,5
285,39,мужской,Нет,1,15500,19,2,39,4100,0
286,39,женский,Да,1,14600,17,39,0,3998,0
287,29,женский,Нет,1,9200,11,16,0,2460,0
288,26,мужской,Да,1,15500,8,5,0,2255,0
289,39,мужской,Нет,0,7600,19,6,0,3007,0
290,32,мужской,Нет,3,11000,14,17,0,3827,2
291,36,мужской,Да,3,11500,15,25,32,3998,1
292,34,мужской,Нет,1,12000,8,5,0,3588,0
293,32,мужской,Нет,2,7500,14,2,36,6048,1
294,34,мужской,Да,2,8800,16,3,12,2870,0
295,37,мужской,Нет,1,15000,14,2,0,7175,2
296,34,мужской,Нет,2,12500,6,7,41,4408,2
297,33,женский,Да,1,34300,15,3,0,5330,0
298,39,женский,Да,1,13000,22,21,0,3895,1
299,34,женский,Нет,2,11500,13,2,38,4237,6
300,26,мужской,Нет,3,8000,4,7,0,4305,5
301,38,женский,Нет,0,9000,14,12,40,5535,2
302,37,мужской,Да,1,17500,14,8,0,5535,4
303,32,мужской,Да,1,30000,14,24,34,7175,0
304,24,мужской,Нет,0,10500,6,3,0,5842,0
305,37,мужской,Нет,3,13000,15,21,0,7585,4
306,27,мужской,Да,1,12800,5,3,10,7482,5
307,37,женский,Нет,0,2500,8,7,39,3075,4
308,54,мужской,Да,0,14100,26,2,38,3998,0
309,40,женский,Да,2,7800,20,3,0,3382,1
310,28,мужской,Нет,0,4500,10,4,0,3178,5
311,35,мужской,Да,0,8000,14,15,0,5330,2
312,32,мужской,Да,1,14500,14,16,35,4612,0
313,26,мужской,Да,2,12500,8,4,34,4818,5
314,36,мужской,Да,0,8500,8,3,29,3382,0
315,37,мужской,Нет,2,26500,17,31,30,820,0
316,31,женский,Да,1,11400,14,3,35,5842,0
317,35,мужской,Да,1,8500,17,28,0,4408,1
318,38,мужской,Да,2,11000,6,8,24,6458,0
319,51,мужской,Да,0,12000,16,2,36,2870,0
320,36,женский,Да,0,19100,10,32,64,6560,0
321,30,женский,Нет,2,10500,12,8,0,6970,5
322,37,мужской,Да,2,9000,17,4,0,6560,3
323,36,мужской,Нет,1,16000,15,19,39,6355,0
324,27,мужской,Нет,1,10000,9,23,33,4920,2
325,27,мужской,Да,0,6500,9,23,0,4818,5
326,34,мужской,Нет,0,11300,17,34,21,3844,0
327,34,женский,Да,1,9000,6,3,0,4100,3
328,32,мужской,Да,1,32500,14,7,0,3007,0
329,33,мужской,Да,0,24000,14,15,0,4920,0
330,36,мужской,Нет,0,6500,19,6,0,3588,2
331,32,мужской,Да,1,10500,11,16,30,3639,0
332,45,женский,Да,0,14000,2,4,0,7278,2
333,22,мужской,Нет,0,13000,4,5,0,2306,0
334,29,мужской,Да,2,11000,11,9,0,4510,2
335,35,мужской,Да,0,11500,5,28,36,1589,0
336,32,женский,Да,1,27000,14,2,0,3792,0
337,34,мужской,Да,1,13500,6,3,0,3758,3
338,35,женский,Да,1,9500,10,16,0,4408,4
339,27,женский,Нет,2,19500,9,22,0,9840,0
340,40,мужской,Нет,1,5500,10,11,0,3553,5
341,40,женский,Нет,0,12000,22,8,0,5125,0
342,35,мужской,Да,1,7000,17,32,0,6458,4
343,24,мужской,Да,2,22000,6,5,0,820,0
344,31,мужской,Да,1,21500,13,27,0,3690,0
345,26,женский,Да,1,14000,5,24,0,4715,0
346,32,женский,Да,1,9500,14,31,0,3792,5
347,24,мужской,Нет,3,14000,6,20,0,5022,5
348,40,мужской,Да,2,15500,19,9,0,5945,4
349,30,мужской,Да,0,16900,12,19,0,6252,0
350,24,мужской,Да,3,14500,6,3,0,1538,0
351,40,мужской,Нет,2,33500,18,11,0,5125,0
352,23,мужской,Нет,2,7500,5,16,0,7175,3
353,25,мужской,Да,1,3400,7,23,34,5638,3
354,59,женский,Да,0,18100,15,2,30,2819,0
355,31,мужской,Да,2,21000,12,18,32,4715,0
356,37,женский,Да,1,7000,14,22,0,2323,5
357,25,женский,Да,0,11500,7,16,0,4408,0
358,33,мужской,Да,1,4000,15,5,0,2204,2
359,38,женский,Да,1,11000,20,32,0,3895,0
360,42,мужской,Да,3,15000,13,3,39,359,0
361,33,женский,Да,1,31500,15,8,29,1691,0
362,37,женский,Нет,0,4800,19,13,0,2921,2
363,34,мужской,Нет,0,33000,16,6,0,2972,0
364,37,мужской,Да,2,40100,18,3,0,4715,0
365,27,мужской,Да,2,6000,9,11,0,5022,6
366,40,мужской,Да,1,26500,7,7,29,4920,0
367,51,мужской,Да,1,24700,13,44,0,1845,0
368,58,мужской,Да,0,12600,15,6,0,2511,0
369,33,женский,Нет,1,11000,14,5,0,3178,0
370,27,мужской,Да,0,8000,9,15,0,769,0
371,25,мужской,Да,1,10500,7,23,0,5638,2
372,39,мужской,Нет,1,11000,7,3,33,4202,5
373,34,женский,Да,1,14000,14,3,33,3622,0
374,35,женский,Нет,2,10600,16,5,0,4168,4
375,35,женский,Да,3,16000,9,18,30,2819,4
376,36,мужской,Да,1,12000,17,5,26,4408,0
377,25,мужской,Нет,0,6500,7,12,30,4202,4
378,58,мужской,Да,0,8000,28,51,46,5125,6
379,36,мужской,Нет,1,9500,16,2,0,2972,3
380,30,женский,Да,1,10700,12,18,0,3690,5
381,55,мужской,Да,1,10900,24,6,0,1179,0
382,34,мужской,Нет,0,8000,16,4,0,6662,2
383,32,мужской,Да,3,29500,5,5,33,2972,0
384,53,мужской,Нет,0,12100,33,38,0,6355,0
385,33,мужской,Нет,2,8000,15,2,0,3007,5
386,31,женский,Да,2,9000,13,3,41,5022,3
387,35,женский,Да,1,13800,16,2,47,2562,0
388,30,мужской,Да,0,19200,12,3,26,2733,0
389,28,женский,Нет,1,7500,10,17,0,3075,3
390,37,мужской,Нет,0,5300,10,30,33,5432,2
391,53,мужской,Да,1,15500,23,25,26,6765,0
392,39,мужской,Нет,0,11500,21,7,37,5535,0
393,31,женский,Да,0,33500,11,28,0,4408,0
394,38,мужской,Нет,0,8000,16,2,43,5228,3
395,54,женский,Нет,1,5200,21,50,57,1640,3
396,29,мужской,Да,1,28000,11,4,0,5022,0
397,40,мужской,Нет,0,6500,23,21,37,2802,2
398,39,мужской,Да,0,7500,18,14,26,3075,3
399,46,женский,Нет,0,11700,13,8,12,6355,0
400,26,женский,Нет,1,13500,8,7,0,4202,0
401,28,мужской,Да,1,11000,10,26,0,2716,0
402,33,женский,Нет,1,10500,15,3,0,2716,1
403,42,мужской,Нет,0,21000,20,11,0,4202,0
404,44,мужской,Да,1,15500,23,3,0,1589,0
405,24,мужской,Нет,3,27500,6,10,0,1230,0
406,29,мужской,Да,4,15400,11,28,0,2614,5
407,23,мужской,Да,2,9000,5,21,40,3280,1
408,32,женский,Да,1,9000,14,8,0,7585,2
409,32,женский,Нет,2,14500,13,3,0,3126,4
410,23,мужской,Да,0,11000,5,17,0,3827,0
411,30,мужской,Да,0,7500,12,2,0,3690,6
412,34,женский,Да,2,12400,16,22,0,3434,3
413,23,мужской,Да,1,4500,5,23,31,2972,2
414,24,женский,Нет,2,11500,6,21,0,6252,5
415,33,женский,Да,0,8500,15,31,0,4818,4
416,24,женский,Нет,2,11500,6,2,0,3622,5
417,32,мужской,Нет,0,13600,14,5,0,2921,0
418,33,мужской,Нет,0,12000,15,3,35,3741,0
419,57,мужской,Да,1,11500,29,33,0,3229,0
420,40,женский,Да,1,13500,15,16,36,3212,3
421,34,женский,Да,2,27000,17,21,0,2152,0
422,28,женский,Нет,0,4000,10,2,0,3622,4
423,24,мужской,Да,1,5900,6,22,0,2306,6
424,23,мужской,Нет,1,8200,5,13,33,3690,4
425,24,мужской,Нет,0,7500,6,3,30,5842,3
426,33,женский,Да,0,7700,16,17,0,4100,3
427,39,мужской,Нет,4,13400,20,2,30,7278,3
428,37,мужской,Нет,1,17000,8,3,0,2972,0
429,24,мужской,Да,0,14000,6,8,0,2802,0
430,36,мужской,Нет,1,8500,14,2,63,4715,1
431,38,мужской,Да,1,10500,18,8,0,1845,0
432,29,женский,Нет,1,14700,11,11,4,5228,0
433,26,мужской,Да,1,15500,8,6,0,6970,5
434,34,женский,Да,0,6000,17,5,0,4168,4
435,25,мужской,Да,0,8000,7,2,60,2562,0
436,35,женский,Нет,2,11500,8,31,44,1589,0
437,37,женский,Да,1,7500,17,7,0,3143,3
438,40,мужской,Да,0,14000,18,7,0,5330,0
439,35,мужской,Да,2,22000,16,26,30,6560,0
440,22,женский,Нет,0,6500,4,14,85,4100,3
441,39,женский,Нет,2,2100,19,9,35,2101,2
442,36,женский,Да,1,10300,11,18,0,7790,5
443,27,мужской,Нет,1,8000,9,16,4,7688,6
444,27,женский,Да,2,9500,9,7,0,4442,5
445,37,женский,Нет,1,33500,11,26,0,6662,0
446,37,мужской,Да,1,9500,19,23,0,4612,2
447,37,мужской,Да,3,21000,15,2,0,6765,4
448,35,мужской,Да,2,12500,13,5,27,769,0
449,40,мужской,Нет,1,15400,21,5,0,4510,0
450,45,мужской,Да,0,11000,16,9,34,2870,6
451,32,мужской,Нет,1,18500,14,6,0,3417,0
452,34,женский,Нет,1,4900,16,32,0,3758,2
453,27,мужской,Да,1,13500,7,5,0,6355,0
454,37,мужской,Нет,0,16500,12,8,30,3758,0
455,43,женский,Нет,2,39200,23,26,30,2392,0
456,25,мужской,Да,2,13000,6,3,0,3007,0
457,31,мужской,Нет,1,22500,13,3,0,6458,0
458,30,женский,Да,0,22500,12,30,26,3485,0
459,28,мужской,Да,0,13500,10,4,90,5638,0
460,33,мужской,Да,0,6500,15,33,87,2358,5
461,28,женский,Нет,1,3800,10,8,44,4100,5
462,34,женский,Нет,0,14500,16,9,0,5228,0
463,25,мужской,Нет,0,5500,7,2,0,1742,4
464,25,мужской,Нет,2,6000,7,21,0,2528,2
465,30,мужской,Нет,1,5500,12,14,0,1589,5
466,29,мужской,Да,1,29000,11,29,0,6765,0
467,24,мужской,Нет,1,7500,6,6,33,3075,1
468,24,женский,Нет,1,6500,6,17,0,3331,2
469,28,мужской,Да,1,10900,10,4,0,3212,0
470,50,мужской,Да,3,12500,21,12,30,2921,2
471,25,мужской,Да,4,11000,7,7,0,5022,4
472,30,мужской,Нет,1,21000,6,5,0,2614,0
473,27,женский,Да,1,9000,9,4,0,3024,4
474,34,женский,Нет,0,4700,16,10,0,3417,1
475,32,женский,Нет,0,9100,10,8,31,2819,0
476,33,мужской,Нет,2,4500,15,4,26,2562,4
477,35,мужской,Нет,2,6000,17,2,41,3963,5
478,53,мужской,Нет,0,14500,17,38,38,3998,0
479,23,мужской,Нет,3,18200,5,9,0,2972,5
480,36,мужской,Нет,0,29000,18,6,0,6765,0
481,38,мужской,Да,1,10500,20,21,0,3895,5
482,38,женский,Нет,0,13600,19,23,34,1332,0
483,33,мужской,Нет,0,32000,15,2,0,4373,0
484,31,женский,Да,1,9500,6,13,0,5228,2
485,32,женский,Да,0,11000,14,31,0,3212,0
486,30,мужской,Да,0,14500,12,5,39,3024,0
487,34,женский,Нет,0,12000,5,12,7,3690,0
488,36,мужской,Нет,0,10500,11,8,84,2255,0
489,31,женский,Нет,2,12000,13,7,35,3690,2
490,36,мужской,Да,0,13200,13,7,31,2819,0
491,37,женский,Да,4,8000,7,2,0,7790,1
492,37,женский,Нет,1,13400,16,19,0,2768,0
493,38,женский,Да,0,6000,13,7,9,3280,5
494,38,мужской,Да,0,12000,17,6,0,6355,0
495,35,мужской,Да,1,9500,4,2,8,1794,4
496,46,мужской,Да,1,12500,16,7,33,5535,3
497,29,мужской,Нет,3,25500,11,8,30,3741,0
498,34,мужской,Нет,2,19500,9,8,39,3485,0
499,36,мужской,Нет,3,10500,19,33,3,2323,5
500,35,мужской,Нет,0,19800,17,26,31,1589,0
501,26,женский,Да,1,5200,8,12,4,6868,6
502,30,женский,Да,0,9500,12,2,0,4100,0
503,36,мужской,Да,1,5500,12,6,0,5022,3
504,40,мужской,Да,0,8600,19,7,0,5330,4
505,29,женский,Нет,0,32500,8,4,0,2614,0
506,23,мужской,Нет,1,27000,5,8,0,4920,0
507,36,мужской,Нет,1,13800,12,3,0,2870,0
508,40,мужской,Нет,2,17500,8,6,64,4408,0
509,26,женский,Да,1,15000,8,4,0,1281,0
510,39,мужской,Нет,2,14000,21,29,0,5672,3
511,58,мужской,Да,0,9500,21,5,9,3178,0
